artist;song;duration_ms;year;tempo;genre;energy;key;loudness
Enrique Iglesias;Do You Know? (The Ping Pong Song);219533;2007;114.999;pop, latin;0.759;8;-4.829
Faithless;We Come 1 - Radio Edit;222435;2015;135.977;pop, Dance/Electronic;0.903;5;-10.587
Chris Brown;Turn Up the Music;227973;2012;129.925;hip hop, pop, R&B;0.841;1;-5.792
Echosmith;Cool Kids;237626;2013;130.027;pop;0.671;8;-6.279
Anne-Marie;Alarm;205593;2016;146.928;pop, Dance/Electronic;0.589;0;-5.093
Calvin Harris;Under Control (feat. Hurts);184280;2014;126.094;hip hop, pop, Dance/Electronic;0.915;8;-3.405
David Guetta;This One's for You (feat. Zara Larsson) (Official Song UEFA EURO 2016);207272;2016;110.169;hip hop, pop, Dance/Electronic;0.915;9;-3.456
Ella Henderson;Ghost;213213;2014;104.975;pop, Dance/Electronic;0.84;9;-3.823
Logic;Everyday;204746;2018;149.908;hip hop, pop;0.741;1;-4.099
Rihanna;What's My Name?;263173;2010;100.025;hip hop, pop, R&B;0.786;2;-2.959
LMFAO;Party Rock Anthem;262146;2011;130.014;hip hop, pop, Dance/Electronic;0.736;5;-4.168
Diddy;Come to Me (feat. Nicole Scherzinger);276786;2006;96.998;hip hop, pop;0.485;6;-6.45
Meghan Trainor;NO;213506;2017;92.134;pop;0.803;1;-3.599
Post Malone;Sunflower - Spider-Man: Into the Spider-Verse;157560;2019;89.96;hip hop;0.522;2;-4.368
The Rasmus;In the Shadows;257920;2003;105.991;metal;0.796;2;-4.481
XXXTENTACION;changes;121886;2018;64.934;hip hop;0.308;11;-10.068
Eminem;We Made You;269613;2009;114.003;hip hop;0.853;2;-1.203
Taylor Swift;Shake It Off;219200;2014;160.078;pop;0.8;7;-5.384
T-Pain;I'm N Luv (Wit a Stripper) (feat. Mike Jones);265333;2005;145.171;hip hop, pop, R&B;0.368;8;-10.38
Snoop Dogg;Signs;236813;2004;112.955;hip hop, pop;0.713;7;-5.308
Daniel Bedingfield;If You're Not The One;257026;2002;119.998;pop;0.538;10;-7.608
Robbie Williams;Candy;201053;2012;116.043;pop, rock;0.791;10;-6.63
Kygo;Stole the Show;222813;2016;99.886;pop, Dance/Electronic;0.633;8;-6.443
Calvin Harris;Feel So Close - Radio Edit;206413;2012;127.937;hip hop, pop, Dance/Electronic;0.924;7;-2.842
Gareth Gates;Anyone of Us (Stupid Mistake);227866;2003;106.986;pop;0.72;1;-6.061
Elvis Presley;A Little Less Conversation - JXL Radio Edit Remix;211506;2002;114.999;rock, easy listening;0.97;4;-5.972
Jessica Simpson;With You;191826;2003;94.487;pop, R&B;0.756;0;-4.583
Rihanna;Diamonds;225146;2012;91.972;hip hop, pop, R&B;0.71;11;-4.92
Dominic Fike;3 Nights;177666;2018;151.891;rock, pop;0.518;7;-6.594
